"request_ID","webmail","reqAreaCode","ToS","Status"
"1","sonam@iitp.ac.in","A107","1","1"
"2","anita@iitp.ac.in","A105","1","0"
"3","reena@iitp.ac.in","A112","1","1"
"4","neha@iitp.ac.in","A107","1","0"
"5","khushboo@iitp.ac.in","A113","1","1"
"6","pooja@iitp.ac.in","A117","1","1"
"7","naveen@iitp.ac.in","A115","1","1"
"8","yamin@iitp.ac.in","A106","1","0"
"9","ishwar@iitp.ac.in","A113","1","1"
"10","sanjay@iitp.ac.in","A111","1","0"
"11","devraj@iitp.ac.in","A116","1","1"
"12","jamaal@iitp.ac.in","A101","1","1"
"13","dimpal@iitp.ac.in","A105","1","0"
"14","mona@iitp.ac.in","A114","1","1"
"15","sonu@iitp.ac.in","A119","1","1"
"16","manju@iitp.ac.in","A103","1","1"
"17","radha@iitp.ac.in","A107","1","0"
"18","vishal@iitp.ac.in","A119","1","1"
"19","jhagdoo@iitp.ac.in","A102","1","0"
"20","riyaz@iitp.ac.in","A113","1","1"
"21","vijay@iitp.ac.in","A108","1","0"
